title,fitness_category,tool,body_part,target,disease,youtube_id,youtube_url,thumb_url,page_no,rank_on_page
의자에 한 다리 올리고 앉앗다 일어서기,근력/근지구력,의자,/,성인,,4TVSE3Y50Eo,https://www.youtube.com/watch?v=4TVSE3Y50Eo,https://img.youtube.com/vi/4TVSE3Y50Eo/0.jpg,54,6
서서 균형잡기,근력/근지구력,보슈볼,하체,성인,,Oxf4FC1VgH0,https://www.youtube.com/watch?v=Oxf4FC1VgH0,https://img.youtube.com/vi/Oxf4FC1VgH0/0.jpg,54,7
앉아서 팔꿈치 굽히기/펴기,근력/근지구력,보슈볼,위팔/아래팔앞쪽/아래팔뒤쪽,성인,,kkZgMGrxVD0,https://www.youtube.com/watch?v=kkZgMGrxVD0,https://img.youtube.com/vi/kkZgMGrxVD0/0.jpg,54,8
서서 균형잡으며 몸통 회전하기,근력/근지구력,보슈볼,전신,성인,,TJJyNJj0GGg,https://www.youtube.com/watch?v=TJJyNJj0GGg,https://img.youtube.com/vi/TJJyNJj0GGg/0.jpg,54,9
엎드려서 다리 차올리기,근력/근지구력,보슈볼,둔부,성인,,wdw3QthW8-k,https://www.youtube.com/watch?v=wdw3QthW8-k,https://img.youtube.com/vi/wdw3QthW8-k/0.jpg,54,10
엎드려서 균형잡기,근력/근지구력,보슈볼,허리,성인,,oG2gE1obDCk,https://www.youtube.com/watch?v=oG2gE1obDCk,https://img.youtube.com/vi/oG2gE1obDCk/0.jpg,54,11
짝 운동,근력/근지구력,보슈볼,전신,성인,,vheV4zZv7cE,https://www.youtube.com/watch?v=vheV4zZv7cE,https://img.youtube.com/vi/vheV4zZv7cE/0.jpg,54,12
손목 펴기/굽히기,근력/근지구력,프리웨이트,위팔/아래팔앞쪽/아래팔뒤쪽,성인,,8N8x2HdkA1o,https://www.youtube.com/watch?v=8N8x2HdkA1o,https://img.youtube.com/vi/8N8x2HdkA1o/0.jpg,55,1
덤벨 옆으로 들어올리기,근력/근지구력,프리웨이트,어깨측면,성인,,th5xriIn3Y0,https://www.youtube.com/watch?v=th5xriIn3Y0,https://img.youtube.com/vi/th5xriIn3Y0/0.jpg,55,2
서서 바벨 위로 밀기,근력/근지구력,프리웨이트,어깨,성인,,DCLneItyEVY,https://www.youtube.com/watch?v=DCLneItyEVY,https://img.youtube.com/vi/DCLneItyEVY/0.jpg,55,3
바벨 들어 팔꿈치 굽히기,근력/근지구력,프리웨이트,위팔앞쪽,성인,,38Ut4YtRKbo,https://www.youtube.com/watch?v=38Ut4YtRKbo,https://img.youtube.com/vi/38Ut4YtRKbo/0.jpg,55,4
누워서 덤벨 들어올리기,근력/근지구력,프리웨이트,몸통,성인,,ScZjYBhtk6U,https://www.youtube.com/watch?v=ScZjYBhtk6U,https://img.youtube.com/vi/ScZjYBhtk6U/0.jpg,55,5
몸통 옆으로 굽히기,근력/근지구력,프리웨이트,몸통,성인,,h5Kb0S5AQO4,https://www.youtube.com/watch?v=h5Kb0S5AQO4,https://img.youtube.com/vi/h5Kb0S5AQO4/0.jpg,55,6
고정한 상태에서 덤벨 들고 팔꿈치 굽히기,근력/근지구력,프리웨이트,위팔앞쪽,성인,,K1oEs5M26-o,https://www.youtube.com/watch?v=K1oEs5M26-o,https://img.youtube.com/vi/K1oEs5M26-o/0.jpg,55,7
매달려서 다리 들기,근력/근지구력,프리웨이트,복부,성인,,WL9dK4MvsvE,https://www.youtube.com/watch?v=WL9dK4MvsvE,https://img.youtube.com/vi/WL9dK4MvsvE/0.jpg,55,8
누워서 머리 위로 팔꿈치 펴기,근력/근지구력,프리웨이트,위팔뒤쪽,성인,,Yaw6AkHdkJQ,https://www.youtube.com/watch?v=Yaw6AkHdkJQ,https://img.youtube.com/vi/Yaw6AkHdkJQ/0.jpg,55,9
허리 굽혀 덤벨 뒤로 들기,근력/근지구력,프리웨이트,위팔뒤쪽,성인,,TcTUoUf-LgY,https://www.youtube.com/watch?v=TcTUoUf-LgY,https://img.youtube.com/vi/TcTUoUf-LgY/0.jpg,55,10
매달려서 뒤로 팔굽혀 펴기,근력/근지구력,프리웨이트,몸통,성인,,v3psx2_ZLVU,https://www.youtube.com/watch?v=v3psx2_ZLVU,https://img.youtube.com/vi/v3psx2_ZLVU/0.jpg,55,11
누워서 덤벨 모아들기,근력/근지구력,프리웨이트,몸통,성인,,0AN2tbTg4vo,https://www.youtube.com/watch?v=0AN2tbTg4vo,https://img.youtube.com/vi/0AN2tbTg4vo/0.jpg,55,12
앉았다 일어서기,근력/근지구력,프리웨이트,허벅지,성인,,rSuLNT9nJbo,https://www.youtube.com/watch?v=rSuLNT9nJbo,https://img.youtube.com/vi/rSuLNT9nJbo/0.jpg,56,1
턱걸이,근력/근지구력,프리웨이트,상체,성인,,wQcyTdAe3y0,https://www.youtube.com/watch?v=wQcyTdAe3y0,https://img.youtube.com/vi/wQcyTdAe3y0/0.jpg,56,2
한발 앞으로 내밀고 앉았다 일어서기,근력/근지구력,프리웨이트,/,성인,,OqzhjfrZ9_g,https://www.youtube.com/watch?v=OqzhjfrZ9_g,https://img.youtube.com/vi/OqzhjfrZ9_g/0.jpg,56,3
바벨들어올리기,근력/근지구력,프리웨이트,허리,성인,,qNo9jsmkfEM,https://www.youtube.com/watch?v=qNo9jsmkfEM,https://img.youtube.com/vi/qNo9jsmkfEM/0.jpg,56,4
바벨 끌어당기기,근력/근지구력,프리웨이트,상체,성인,,KVwdvNg-pnA,https://www.youtube.com/watch?v=KVwdvNg-pnA,https://img.youtube.com/vi/KVwdvNg-pnA/0.jpg,56,5
앉아서 위로 밀기,근력/근지구력,웨이트기계,어깨,성인,,tVuFEWtCV9w,https://www.youtube.com/watch?v=tVuFEWtCV9w,https://img.youtube.com/vi/tVuFEWtCV9w/0.jpg,56,6
